Date,Open,High,Low,Close,Adj Close,Volume
2016-01-06,291.0,345.649994,291.0,336.950012,336.950012,41383689.0
2016-01-07,337.0,360.0,325.299988,330.700012,330.700012,11693085.0
2016-01-08,332.5,340.5,324.100006,327.399994,327.399994,3781532.0
2016-01-11,322.899994,332.899994,306.049988,327.5,327.5,3393607.0
2016-01-12,331.0,336.0,324.100006,331.799988,331.799988,1686299.0
2016-01-13,,,,,,
2016-01-14,,,,,,
2016-01-15,,,,,,
2016-01-19,,,,,,
2016-01-20,,,,,,
2016-01-21,,,,,,
2016-01-22,,,,,,
2016-01-25,,,,,,
2016-01-26,,,,,,
2016-01-27,,,,,,
2016-01-28,,,,,,
2016-01-29,,,,,,
2016-02-01,,,,,,
2016-02-02,,,,,,
2016-02-03,,,,,,
2016-02-04,,,,,,
2016-02-05,,,,,,
2016-02-08,,,,,,
2016-02-09,,,,,,
2016-02-10,,,,,,
2016-02-11,,,,,,
2016-02-12,,,,,,
2016-02-16,,,,,,
2016-02-17,,,,,,
2016-02-18,,,,,,
2016-02-19,,,,,,
2016-02-22,,,,,,
2016-02-23,,,,,,
2016-02-24,,,,,,
2016-02-25,,,,,,
2016-02-26,,,,,,
2016-02-29,,,,,,
2016-03-01,,,,,,
2016-03-02,,,,,,
2016-03-03,,,,,,
2016-03-04,,,,,,
2016-03-07,,,,,,
2016-03-08,,,,,,
2016-03-09,,,,,,
2016-03-10,,,,,,
2016-03-11,,,,,,
2016-03-14,,,,,,
2016-03-15,,,,,,
2016-03-16,,,,,,
2016-03-17,,,,,,
2016-03-18,,,,,,
2016-03-21,,,,,,
2016-03-22,,,,,,
2016-03-23,,,,,,
2016-03-24,,,,,,
2016-03-28,,,,,,
2016-03-29,,,,,,
2016-03-30,,,,,,
2016-03-31,,,,,,
2016-04-01,,,,,,
2016-04-04,,,,,,
2016-04-05,,,,,,
2016-04-06,,,,,,
2016-04-07,,,,,,
2016-04-08,,,,,,
2016-04-11,,,,,,
2016-04-12,,,,,,
2016-04-13,,,,,,
2016-04-14,,,,,,
2016-04-15,,,,,,
2016-04-18,,,,,,
2016-04-19,,,,,,
2016-04-20,,,,,,
2016-04-21,,,,,,
2016-04-22,,,,,,
2016-04-25,,,,,,
2016-04-26,,,,,,
2016-04-27,,,,,,
2016-04-28,,,,,,
2016-04-29,,,,,,
2016-05-02,,,,,,
2016-05-03,,,,,,
2016-05-04,,,,,,
2016-05-05,,,,,,
2016-05-06,,,,,,
2016-05-09,,,,,,
2016-05-10,,,,,,
2016-05-11,,,,,,
2016-05-12,,,,,,
2016-05-13,,,,,,
2016-05-16,,,,,,
2016-05-17,,,,,,
2016-05-18,,,,,,
2016-05-19,,,,,,
2016-05-20,,,,,,
2016-05-23,,,,,,
2016-05-24,,,,,,
2016-05-25,,,,,,
2016-05-26,,,,,,
2016-05-27,,,,,,
2016-05-31,,,,,,
2016-06-01,,,,,,
2016-06-02,16.110001,21.0,16.110001,18.59,18.59,3489073.0
2016-06-03,19.469998999999998,19.6,17.309998999999998,18.540001,18.540001,842431.0
2016-06-06,18.299999,18.7899,16.250099,16.41,16.41,666451.0
2016-06-07,16.190001000000002,16.629998999999998,15.03,15.64,15.64,524700.0
2016-06-08,15.83,16.18,15.55,15.8,15.8,249200.0
2016-06-09,15.81,15.98,15.38,15.5,15.5,194200.0
2016-06-10,15.25,15.64,14.22,14.25,14.25,288500.0
2016-06-13,14.0,14.45,14.0,14.0,14.0,571000.0
2016-06-14,14.0,14.05,14.0,14.01,14.01,501900.0
2016-06-15,14.01,14.087,13.98,14.05,14.05,229600.0
2016-06-16,14.0,14.88,13.975,14.01,14.01,514100.0
2016-06-17,14.18,14.23,13.95,14.1,14.1,154200.0
2016-06-20,14.21,14.55,14.0,14.04,14.04,98700.0
2016-06-21,14.02,14.137,14.0,14.02,14.02,97800.0
2016-06-22,13.96,14.212,13.96,14.09,14.09,72400.0
2016-06-23,14.18,14.18,13.52,14.03,14.03,150200.0
2016-06-24,13.54,13.88,12.7,12.71,12.71,256200.0
2016-06-27,13.0,13.9,12.753,12.95,12.95,425900.0
2016-06-28,13.07,13.47,13.0,13.22,13.22,184800.0
2016-06-29,13.09,13.393,12.51,12.62,12.62,170300.0
2016-06-30,12.71,12.968,12.36,12.5,12.5,141100.0
2016-07-01,12.58,13.48,12.465,12.87,12.87,203900.0
2016-07-05,13.24,13.61,12.85,13.51,13.51,71200.0
2016-07-06,13.56,14.2,13.56,13.74,13.74,177500.0
2016-07-07,14.0,14.35,13.9,13.99,13.99,78000.0
2016-07-08,14.0,14.061,13.3,13.67,13.67,83300.0
2016-07-11,13.62,13.7,12.875,12.91,12.91,82200.0
2016-07-12,12.93,13.22,12.53,12.72,12.72,66700.0
2016-07-13,12.61,12.993,12.61,12.82,12.82,28900.0
2016-07-14,12.77,12.8,12.55,12.64,12.64,20000.0
2016-07-15,12.55,12.842,12.35,12.46,12.46,63100.0
2016-07-18,12.35,12.716,12.34,12.55,12.55,8100.0
2016-07-19,12.456,12.456,11.278,11.44,11.44,114500.0
2016-07-20,11.64,11.93,10.91,11.15,11.15,102800.0
2016-07-21,11.15,11.98,11.11,11.15,11.15,13300.0
2016-07-22,11.15,11.36,10.95,11.27,11.27,35900.0
2016-07-25,11.39,11.39,10.58,10.65,10.65,76700.0
2016-07-26,10.71,10.8,10.5,10.71,10.71,82300.0
2016-07-27,10.95,10.95,9.79,10.42,10.42,106700.0
2016-07-28,10.51,10.51,9.965,10.11,10.11,57100.0
2016-07-29,10.03,10.15,9.98,10.1,10.1,34300.0
2016-08-01,9.98,10.14,9.91,9.98,9.98,38200.0
2016-08-02,10.09,10.09,9.91,9.99,9.99,25900.0
2016-08-03,10.0,10.08,9.94,9.98,9.98,17300.0
2016-08-04,9.98,10.1,9.9,10.05,10.05,109300.0
2016-08-05,10.124,10.15,10.02,10.08,10.08,41200.0
2016-08-08,10.0,10.0,9.9,9.96,9.96,45200.0
2016-08-09,9.9,9.97,9.9,9.97,9.97,22900.0
2016-08-10,10.6,11.0,10.09,10.4,10.4,240100.0
2016-08-11,10.5,10.97,10.44,10.6,10.6,74400.0
2016-08-12,10.71,11.5,10.71,11.5,11.5,146500.0
2016-08-15,11.64,12.265,11.55,11.86,11.86,138900.0
2016-08-16,11.94,12.586,11.6,11.73,11.73,109900.0
2016-08-17,11.9,12.74,11.52,12.44,12.44,80000.0
2016-08-18,12.68,13.433,11.81,12.7,12.7,252400.0
2016-08-19,12.78,13.129,12.611,12.79,12.79,42700.0
2016-08-22,12.8,12.99,12.28,12.32,12.32,114800.0
2016-08-23,12.454,12.94,12.33,12.76,12.76,78100.0
2016-08-24,12.7,12.9,11.88,12.11,12.11,288000.0
2016-08-25,12.22,12.52,11.98,12.26,12.26,49100.0
2016-08-26,12.24,12.7,12.07,12.39,12.39,30800.0
2016-08-29,12.38,12.75,12.38,12.61,12.61,47600.0
2016-08-30,12.7,13.5,12.501,13.22,13.22,161700.0
2016-08-31,13.15,13.29,12.8,13.11,13.11,99400.0
2016-09-01,13.24,13.24,12.26,12.465,12.465,93300.0
2016-09-02,12.35,12.79,12.27,12.52,12.52,20300.0
2016-09-06,12.8,12.8,12.26,12.47,12.47,50600.0
2016-09-07,12.43,13.071,12.4,12.81,12.81,44000.0
2016-09-08,12.75,13.35,12.75,13.25,13.25,67200.0
2016-09-09,13.25,13.4,13.06,13.18,13.18,37000.0
2016-09-12,13.08,13.25,13.0,13.205,13.205,37700.0
2016-09-13,13.106,13.106,12.005,13.0,13.0,118500.0
2016-09-14,13.0,13.35,12.684,13.2,13.2,114000.0
2016-09-15,13.33,15.796,12.73,15.35,15.35,526900.0
2016-09-16,15.07,15.328,13.89,14.5,14.5,305800.0
2016-09-19,14.54,14.62,13.16,13.62,13.62,441300.0
2016-09-20,13.75,13.75,12.7,13.21,13.21,162900.0
2016-09-21,13.05,13.54,13.05,13.51,13.51,49900.0
2016-09-22,13.93,13.93,13.28,13.76,13.76,115600.0
2016-09-23,13.5,13.96,13.27,13.41,13.41,72500.0
2016-09-26,13.39,13.46,12.638,12.85,12.85,91400.0
2016-09-27,12.65,13.2,12.5,12.78,12.78,66500.0
2016-09-28,12.7,13.8,12.7,13.72,13.72,137700.0
2016-09-29,13.73,13.79,13.35,13.42,13.42,185000.0
2016-09-30,13.44,13.8,13.0,13.15,13.15,775300.0
2016-10-03,13.35,13.7,13.01,13.22,13.22,126700.0
2016-10-04,13.27,13.37,13.02,13.06,13.06,22300.0
2016-10-05,13.13,13.21,12.81,13.09,13.09,81300.0
2016-10-06,13.15,13.18,12.92,13.07,13.07,25400.0
2016-10-07,13.03,13.59,12.87,13.41,13.41,71700.0
2016-10-10,13.38,13.38,13.05,13.33,13.33,61700.0
2016-10-11,13.34,13.795,13.18,13.67,13.67,88900.0
2016-10-12,13.56,13.76,13.09,13.22,13.22,45300.0
2016-10-13,13.1,13.75,12.76,12.84,12.84,80400.0
2016-10-14,12.96,13.24,12.65,12.79,12.79,53800.0
2016-10-17,12.66,12.98,12.6,12.85,12.85,26100.0
2016-10-18,13.19,13.8,13.078,13.69,13.69,85500.0
2016-10-19,13.4,13.88,13.385,13.62,13.62,48700.0
2016-10-20,13.51,13.76,13.28,13.68,13.68,32800.0
2016-10-21,13.55,13.71,13.42,13.45,13.45,34600.0
2016-10-24,13.5,13.695,13.21,13.25,13.25,20700.0
2016-10-25,13.41,13.68,13.08,13.14,13.14,66300.0
2016-10-26,13.16,13.26,12.95,13.03,13.03,42800.0
2016-10-27,12.96,13.26,12.661,12.92,12.92,55500.0
2016-10-28,12.83,13.17,12.83,13.01,13.01,32100.0
2016-10-31,12.9,13.22,12.76,13.13,13.13,68500.0
2016-11-01,13.13,13.13,12.65,12.86,12.86,36700.0
2016-11-02,12.78,12.843,12.42,12.46,12.46,28900.0
2016-11-03,12.58,12.58,10.99,11.05,11.05,135300.0
2016-11-04,11.02,11.28,10.795,11.1,11.1,76100.0
2016-11-07,11.24,11.77,10.9,11.17,11.17,79900.0
2016-11-08,11.01,11.395,9.92,10.09,10.09,198300.0
2016-11-09,9.67,10.82,9.67,10.1,10.1,128000.0
2016-11-10,10.35,10.7,10.025,10.5,10.5,56500.0
2016-11-11,10.49,11.11,10.34,11.04,11.04,119200.0
2016-11-14,11.07,11.76,11.07,11.55,11.55,67000.0
2016-11-15,11.54,12.51,11.31,11.75,11.75,166400.0
2016-11-16,11.91,12.37,11.561,11.77,11.77,49800.0
2016-11-17,11.91,12.15,11.86,11.98,11.98,36700.0
2016-11-18,12.02,12.38,11.53,11.72,11.72,46900.0
2016-11-21,11.62,12.18,11.62,11.98,11.98,57100.0
2016-11-22,11.96,12.12,11.727,11.98,11.98,49500.0
2016-11-23,12.02,12.361,11.99,12.24,12.24,93200.0
2016-11-25,12.19,12.61,12.05,12.54,12.54,50900.0
2016-11-28,12.49,13.12,12.188,12.99,12.99,125000.0
2016-11-29,12.94,13.1,11.81,11.94,11.94,161800.0
2016-11-30,12.14,12.26,11.28,11.53,11.53,215300.0
2016-12-01,11.55,11.99,11.05,11.32,11.32,115300.0
2016-12-02,11.0,11.15,10.3,10.6,10.6,433300.0
2016-12-05,10.59,10.59,9.73,9.97,9.97,334100.0
2016-12-06,9.99,10.05,9.61,9.92,9.92,165200.0
2016-12-07,10.05,10.19,9.72,9.91,9.91,208100.0
2016-12-08,10.0,10.05,9.62,10.0,10.0,109500.0
2016-12-09,10.01,10.99,10.0,10.48,10.48,252900.0
2016-12-12,10.57,11.25,10.5,10.58,10.58,581900.0
2016-12-13,10.57,11.3,10.57,10.86,10.86,491600.0
2016-12-14,10.76,11.88,10.76,11.61,11.61,517900.0
2016-12-15,11.73,11.95,9.7,9.71,9.71,1036100.0
2016-12-16,9.78,10.38,9.73,10.345,10.345,4383100.0
2016-12-19,10.31,10.48,10.08,10.37,10.37,147100.0
2016-12-20,10.38,11.18,10.38,11.14,11.14,208200.0
2016-12-21,11.16,11.9,10.93,11.69,11.69,161200.0
2016-12-22,11.68,11.79,10.51,10.57,10.57,135200.0
2016-12-23,10.61,11.11,10.61,10.96,10.96,82400.0
2016-12-27,10.98,11.05,10.71,10.86,10.86,124700.0
2016-12-28,10.81,11.03,10.24,10.38,10.38,103400.0
2016-12-29,10.36,10.44,10.04,10.09,10.09,93500.0
2016-12-30,10.05,10.26,9.81,9.94,9.94,131400.0
2017-01-03,10.07,10.29,9.61,9.83,9.83,154000.0
2017-01-04,10.05,10.36,9.83,10.31,10.31,159900.0
2017-01-05,10.49,10.49,9.95,10.27,10.27,79400.0
2017-01-06,10.77,10.87,10.28,10.56,10.56,153100.0
2017-01-09,10.53,10.56,10.02,10.07,10.07,200000.0
2017-01-10,10.03,10.26,10.01,10.16,10.16,95500.0
2017-01-11,10.1,10.26,9.71,9.93,9.93,141500.0
2017-01-12,9.92,10.01,9.51,9.88,9.88,149500.0
2017-01-13,9.95,10.19,9.847,10.0,10.0,166400.0
2017-01-17,9.97,9.98,9.66,9.76,9.76,104500.0
2017-01-18,9.75,10.02,9.7,9.87,9.87,62800.0
2017-01-19,9.86,9.99,9.52,9.56,9.56,75600.0
2017-01-20,9.55,9.804,9.51,9.57,9.57,126500.0
2017-01-23,9.52,9.65,9.42,9.51,9.51,147600.0
2017-01-24,9.52,9.795,9.4,9.55,9.55,151200.0
2017-01-25,9.63,9.67,9.448,9.6,9.6,85900.0
2017-01-26,9.52,9.86,9.37,9.4,9.4,73800.0
2017-01-27,9.31,9.586,9.07,9.11,9.11,150200.0
2017-01-30,9.08,9.155,8.16,8.25,8.25,288600.0
2017-01-31,8.5,8.5,7.92,8.14,8.14,257400.0
2017-02-01,8.13,8.34,7.63,8.08,8.08,241900.0
2017-02-02,8.05,8.24,7.87,7.98,7.98,85000.0
2017-02-03,8.0,8.06,7.9,7.95,7.95,102200.0
2017-02-06,7.95,7.95,7.5,7.58,7.58,218700.0
2017-02-07,7.56,7.82,7.43,7.66,7.66,122100.0
2017-02-08,7.63,7.78,7.5,7.59,7.59,94100.0
2017-02-09,7.54,7.87,7.54,7.8,7.8,162200.0
2017-02-10,7.84,7.99,7.61,7.89,7.89,127100.0
2017-02-13,7.98,8.016,7.835,7.95,7.95,122400.0
2017-02-14,8.0,8.16,7.751,7.84,7.84,164700.0
2017-02-15,7.85,7.97,7.8,7.95,7.95,112500.0
